<solve>
</solve>
<out>
 Y(1, 3): 1
 Y(1, 5): 1
 Y(1, 8): 1
 Y(1, 9): 1
 Y(1, 11): 1
 Y(2, 6): 1
 Y(2, 16): 1
 Y(3, 9): 1
 Y(3, 13): 1
 Y(3, 17): 1
 Y(4, 20): 1
 Y(5, 1): 1
 Y(5, 3): 1
 Y(5, 12): 1
 Y(6, 5): 1
 Y(6, 7): 1
 Y(7, 6): 1
 Y(7, 8): 1
 Y(7, 10): 1
 Y(7, 20): 1
 Y(8, 4): 1
 Y(8, 7): 1
 Y(8, 16): 1
 Y(9, 10): 1
 Y(9, 15): 1
 Y(9, 17): 1
 Y(9, 20): 1
 Y(10, 18): 1
 Y(10, 20): 1
 Y(11, 4): 1
 Y(11, 17): 5.42097e-11
 Y(12, 7): 1
 Y(12, 14): 1
 Y(12, 16): 1
 Y(12, 18): 1
 Y(13, 7): 1
 Y(13, 11): 1
 Y(14, 3): 1
 Y(14, 15): 1
 Y(14, 19): 1
 Y(14, 20): 1
 Y(15, 1): 1
 Y(15, 4): 1
 Y(15, 17): 1
 Y(16, 9): 1
 Y(16, 18): 1
 Y(17, 7): 1
 Y(18, 1): 1
 Y(18, 2): 1
 Y(18, 7): 1
 Y(18, 9): 1
 Y(18, 11): 1
 Y(18, 20): 1
 Y(19, 1): 1
 Y(20, 2): 1
 Y(20, 11): 1
 Y(20, 12): 1
 Y(20, 15): 1
 Y(20, 17): 1
 Y(20, 18): 1
 X(1, 2, 17): 6.87191e-09
 X(1, 15, 2): 1.03069e-11
 X(1, 15, 17): 560
 X(2, 3, 2): 2.12987e-09
 X(2, 5, 12): 297
 X(2, 12, 18): 297
 X(2, 18, 2): 297
 X(3, 5, 12): 603
 X(3, 6, 5): 603
 X(3, 12, 7): 603
 X(4, 7, 20): 354
 X(4, 11, 4): 354
 X(4, 20, 11): 354
 X(5, 1, 8): 437
 X(5, 19, 1): 437
 X(6, 7, 20): 621
 X(6, 8, 7): 621
 X(6, 10, 11): 3.65065e-12
 X(6, 20, 11): 621
 X(7, 12, 14): 468
 X(7, 20, 12): 468
 X(8, 2, 6): 564
 X(8, 18, 2): 207
 X(8, 20, 2): 357
 X(8, 20, 18): 207
 X(9, 3, 13): 468
 X(9, 13, 11): 468
 X(10, 12, 14): 573
 X(10, 14, 19): 573
 X(10, 18, 20): 573
 X(10, 20, 12): 573
 X(11, 5, 1): 323
 X(12, 1, 5): 235
 X(13, 4, 20): 673
 X(13, 7, 10): 27
 X(13, 8, 4): 673
 X(13, 8, 7): 27
 X(13, 8, 16): 3
 X(13, 9, 10): 3
 X(13, 10, 20): 30
 X(13, 16, 9): 3
 X(14, 1, 8): 7
 X(14, 1, 9): 711
 X(14, 4, 2): 2.42281e-10
 X(14, 7, 10): 7
 X(14, 8, 7): 7
 X(14, 9, 10): 711
 X(14, 15, 1): 718
 X(15, 6, 7): 264
 X(15, 7, 20): 264
 X(16, 7, 8): 332
 X(16, 13, 7): 332
 X(17, 1, 3): 308
 X(17, 19, 1): 308
 X(18, 6, 5): 716
 X(18, 7, 6): 716
 X(18, 10, 15): 3.32325e-11
 X(19, 12, 18): 215
 X(19, 18, 9): 215
 X(20, 12, 16): 481
 X(21, 3, 17): 201
 X(21, 7, 20): 201
 X(21, 17, 7): 201
 X(22, 5, 6): 2.38844e-11
 X(22, 7, 6): 690
 X(23, 4, 7): 1.35199e-12
 X(23, 10, 2): 1.35199e-12
 X(23, 10, 18): 437
 X(23, 18, 1): 437
 X(24, 14, 15): 461
 X(24, 14, 20): 113
 X(24, 20, 7): 1.48291e-08
 X(24, 20, 15): 113
 X(25, 1, 11): 451
 X(25, 14, 19): 451
 X(25, 19, 1): 451
 X(26, 9, 15): 552
 X(26, 9, 17): 10
 X(26, 11, 17): 3.54879e-10
 X(26, 15, 17): 552
 X(27, 10, 20): 700
 X(28, 4, 9): 9.68216e-11
 X(28, 8, 16): 301
 X(28, 16, 9): 301
 X(29, 2, 6): 26
 X(29, 6, 7): 26
 X(29, 8, 6): 1.48949e-11
 X(29, 10, 11): 1.7286e-11
 X(29, 10, 18): 394
 X(29, 11, 17): 1.7286e-11
 X(29, 18, 2): 26
 X(29, 18, 7): 368
 X(30, 2, 16): 548
 X(31, 11, 17): 1.05681e-08
 X(31, 15, 17): 267
 X(31, 19, 17): 2.20731e-08
 X(31, 20, 15): 267
 X(32, 14, 3): 325
 X(33, 16, 18): 333
 X(33, 18, 11): 333
 X(34, 8, 18): 5.54287e-12
 X(34, 13, 7): 174
 X(34, 13, 16): 5.54287e-12
 X(34, 16, 8): 5.54287e-12
 X(35, 8, 6): 1.6542e-11
 X(35, 9, 17): 368
 X(35, 9, 20): 192
 X(35, 20, 17): 192
 X(36, 2, 16): 187
 X(37, 1, 5): 403
 X(37, 5, 3): 403
 X(38, 15, 4): 558
 X(39, 7, 10): 729
 X(40, 3, 9): 286
 TotalCost: 599028
</out>
<time>25005403</time>
