<solve>
</solve>
<out>
 Y(1, 3): 1
 Y(1, 4): 1
 Y(1, 18): 1
 Y(1, 20): 6.35901e-13
 Y(2, 10): 1
 Y(2, 14): 2.25851e-13
 Y(2, 20): 1
 Y(3, 2): 1
 Y(3, 7): 1
 Y(3, 13): 1.48792e-13
 Y(3, 17): 1
 Y(4, 1): 1
 Y(4, 2): 2.04017e-13
 Y(4, 3): 1
 Y(4, 10): 7.56901e-13
 Y(4, 14): 1
 Y(4, 16): 1
 Y(5, 3): 1
 Y(5, 4): 2.04017e-13
 Y(5, 14): 7.30131e-13
 Y(6, 7): 1
 Y(6, 18): 1
 Y(7, 9): 1
 Y(7, 14): 1
 Y(7, 15): 1
 Y(7, 18): 1
 Y(8, 4): 3.26448e-13
 Y(8, 14): 1
 Y(8, 18): 1
 Y(9, 5): 1.24011e-12
 Y(9, 12): 1.48503e-13
 Y(9, 16): 1
 Y(9, 17): 1.48987e-13
 Y(10, 15): 1.96695e-13
 Y(10, 18): 1
 Y(10, 19): 2.53842e-13
 Y(11, 3): 1
 Y(12, 2): 1
 Y(12, 7): 1
 Y(13, 2): 1
 Y(14, 2): 1
 Y(14, 3): 1.48792e-13
 Y(14, 9): 1.48503e-13
 Y(14, 13): 1
 Y(14, 16): 1
 Y(14, 20): 1
 Y(15, 1): 1.40066e-13
 Y(15, 2): 1
 Y(15, 7): 1
 Y(15, 14): 1
 Y(15, 18): 1
 Y(15, 20): 1
 Y(16, 3): 1
 Y(16, 4): 7.97107e-13
 Y(16, 12): 1
 Y(17, 14): 1
 Y(17, 16): 1
 Y(18, 1): 1
 Y(18, 2): 1
 Y(18, 7): 1
 Y(18, 13): 1
 Y(18, 16): 1.15852e-13
 Y(18, 20): 1
 Y(19, 1): 1
 Y(19, 12): 2.53842e-13
 Y(20, 4): 1
 Y(20, 8): 1
 Y(20, 12): 1
 X(1, 15, 2): 560
 X(2, 2, 12): 1.47739e-13
 X(2, 9, 12): 4.33289e-11
 X(2, 9, 16): 297
 X(2, 9, 18): 1.47739e-13
 X(2, 16, 12): 297
 X(2, 18, 2): 1.47739e-13
 X(3, 17, 16): 603
 X(4, 1, 4): 354
 X(4, 4, 16): 354
 X(4, 12, 16): 9.21126e-12
 X(4, 20, 11): 9.21126e-12
 X(5, 3, 12): 1.20037e-13
 X(5, 9, 12): 6.37916e-11
 X(5, 14, 9): 6.37916e-11
 X(5, 14, 16): 437
 X(5, 16, 3): 1.20037e-13
 X(5, 16, 12): 437
 X(6, 2, 14): 1.31986e-10
 X(6, 3, 10): 1.29907e-10
 X(6, 4, 9): 2.20445e-13
 X(6, 4, 14): 15
 X(6, 7, 14): 606
 X(6, 9, 7): 2.20445e-13
 X(6, 10, 2): 1.45353e-10
 X(6, 16, 3): 1.51198e-10
 X(6, 18, 7): 606
 X(6, 18, 16): 6.48388e-11
 X(6, 18, 20): 15
 X(6, 20, 4): 15
 X(7, 1, 3): 468
 X(7, 19, 1): 468
 X(8, 11, 3): 564
 X(9, 8, 18): 468
 X(10, 6, 7): 1.63866e-11
 X(10, 6, 18): 573
 X(10, 7, 8): 1.63866e-11
 X(10, 15, 16): 1.71905e-09
 X(10, 16, 8): 1.71905e-09
 X(10, 18, 20): 573
 X(10, 20, 8): 573
 X(11, 2, 12): 1.36363e-13
 X(11, 4, 18): 1.69615e-10
 X(11, 8, 4): 1.69615e-10
 X(11, 8, 14): 323
 X(11, 10, 19): 1.45346e-10
 X(11, 14, 20): 323
 X(11, 18, 2): 1.45479e-10
 X(11, 19, 12): 1.45346e-10
 X(11, 20, 12): 323
 X(12, 15, 14): 235
 X(13, 3, 2): 703
 X(14, 1, 6): 9.21126e-12
 X(14, 15, 2): 718
 X(14, 20, 2): 9.21126e-12
